project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379384	P1_91	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379385	P1_93	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379386	P2_05	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379387	P2_06	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379388	P2_10	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379389	P2_15	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379390	P2_29	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379391	P2_31	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379392	P2_33	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379393	P2_37	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379394	P2_39	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379395	P2_40	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379396	P2_48	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379397	P2_51	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379398	P2_64	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379399	P2_65	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379400	P2_80	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379401	P2_81	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379402	P2_85	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379403	P2_86	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379404	P2_94	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379405	P3_03	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379406	P3_04	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379407	P3_11	ICM0041_COSAG.1_Chlorarachnea	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379408	P3_13	ICM0041_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379409	GC1003827_E10_1	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379410	GC1003827_E10_2	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379411	GC1003837_A07	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
