annot	count	avg_count
Peptidase_S10	1308	9.211267605633802
Ribosomal_L20	94	0.6619718309859155
PI3_PI4_kinase	2407	16.950704225352112
DeoRC	2	0.014084507042253521
Transketolase_N	277	1.9507042253521127
Glyco_hydro_11	14	0.09859154929577464
WHEP-TRS	218	1.5352112676056338
Inositol_P	597	4.204225352112676
Flg_bb_rod	6	0.04225352112676056
Glutaredoxin	1343	9.45774647887324
ICL	172	1.2112676056338028
SHMT	398	2.8028169014084505
Fe-ADH	326	2.295774647887324
Ribosomal_L10	463	3.26056338028169
KOW	650	4.577464788732394
Ribosomal_L34	82	0.5774647887323944
Ribosomal_L33	78	0.5492957746478874
RF-1	440	3.0985915492957745
SSF	343	2.415492957746479
IGPD	98	0.6901408450704225
DNA_pol_A	490	3.4507042253521125
LEA_5	8	0.056338028169014086
IMPDH	283	1.9929577464788732
G6PD_N	262	1.8450704225352113
ROK	137	0.9647887323943662
PP2C	4257	29.97887323943662
T2SSF	7	0.04929577464788732
NTP_transferase	576	4.056338028169014
Pro_CA	355	2.5
PRK	479	3.3732394366197185
Trans_reg_C	13	0.09154929577464789
FA_desaturase	1548	10.901408450704226
MutS_V	896	6.309859154929577
ALAD	130	0.9154929577464789
Arginase	279	1.9647887323943662
MCM	1257	8.852112676056338
SQS_PSY	348	2.4507042253521125
SBP_bac_5	20	0.14084507042253522
SBP_bac_3	138	0.971830985915493
FHA	2912	20.507042253521128
Oxidored_q3	16	0.11267605633802817
AMP-binding	4183	29.45774647887324
Phycobilisome	62	0.43661971830985913
G-alpha	1174	8.267605633802816
Chloroa_b-bind	1649	11.612676056338028
HMG_box	2053	14.45774647887324
Oxidored_q4	16	0.11267605633802817
COX3	22	0.15492957746478872
HisKA	1992	14.028169014084508
Arm	6381	44.936619718309856
TPR_1	2860	20.140845070422536
PPV_E1_C	1	0.007042253521126761
Ion_trans	10808	76.11267605633803
DNA_topoisoIV	373	2.6267605633802815
Dicty_CTDC	2255	15.880281690140846
BPD_transp_1	44	0.30985915492957744
SRCR	1002	7.056338028169014
Death	53	0.3732394366197183
BRCT	1368	9.633802816901408
Glycos_transf_1	1082	7.619718309859155
Glycos_transf_2	1178	8.295774647887324
SAM_1	1790	12.605633802816902
Linker_histone	246	1.732394366197183
Ribosomal_L12	209	1.471830985915493
P-II	12	0.08450704225352113
Pectate_lyase_4	46	0.323943661971831
Ribonuclease	6	0.04225352112676056
Urease_gamma	52	0.36619718309859156
Ligase_CoA	524	3.6901408450704225
PP-binding	1757	12.373239436619718
Formyl_trans_N	290	2.0422535211267605
CBM_2	29	0.20422535211267606
LHC	2	0.014084507042253521
Peptidase_M24	1507	10.612676056338028
LRR_1	8651	60.92253521126761
Abhydrolase_1	2719	19.14788732394366
RNA_pol_Rpb2_6	579	4.077464788732394
EAL	10	0.07042253521126761
PB1	889	6.26056338028169
SNase	791	5.570422535211268
RabGAP-TBC	3845	27.077464788732396
TUDOR	219	1.5422535211267605
WH1	172	1.2112676056338028
ZZ	1124	7.915492957746479
HRDC	342	2.408450704225352
CBS	4130	29.08450704225352
Ribosomal_L13	389	2.73943661971831
Ribosomal_L4	403	2.8380281690140845
CLP_protease	360	2.535211267605634
S1	1270	8.943661971830986
Transthyretin	97	0.6830985915492958
AhpC-TSA	767	5.401408450704225
tRNA-synt_1b	695	4.894366197183099
UvrD-helicase	369	2.5985915492957745
Rhodanese	2042	14.380281690140846
Usp	830	5.845070422535211
Acetyltransf_1	3166	22.295774647887324
SecE	130	0.9154929577464789
Thr_dehydrat_C	207	1.4577464788732395
AIRS	249	1.7535211267605635
tRNA-synt_2b	1104	7.774647887323944
SpoU_methylase	814	5.732394366197183
Phage_integrase	148	1.0422535211267605
TP_methylase	312	2.1971830985915495
Glycos_transf_3	123	0.8661971830985915
TonB_dep_Rec_b-barrel	32	0.22535211267605634
PDZ	2546	17.929577464788732
Aldolase_II	258	1.8169014084507042
DAGK_acc	394	2.7746478873239435
DEP	857	6.035211267605634
FCH	285	2.007042253521127
IQ	6824	48.056338028169016
PI3Ka	536	3.7746478873239435
PLDc	351	2.471830985915493
RGS	1999	14.077464788732394
RasGAP	1106	7.788732394366197
RasGEF	1682	11.845070422535212
RasGEF_N	1008	7.098591549295775
RhoGAP	2430	17.112676056338028
RhoGEF	2549	17.950704225352112
SPRY	2210	15.56338028169014
RNA_pol_Rpb1_2	516	3.6338028169014085
Flocculin	40	0.28169014084507044
Guanylate_kin	416	2.9295774647887325
Gelsolin	1618	11.394366197183098
UBA	1527	10.753521126760564
PHD	2396	16.87323943661972
MAM	114	0.8028169014084507
Filamin	2051	14.443661971830986
G-gamma	48	0.3380281690140845
HECT	2650	18.661971830985916
HHH	178	1.2535211267605635
BRCA2	78	0.5492957746478874
Motile_Sperm	394	2.7746478873239435
Ribonuclease_3	323	2.2746478873239435
Clathrin	1369	9.640845070422536
Ran_BP1	490	3.4507042253521125
Rotamase	346	2.436619718309859
