annot	count_bg	avg_count	count_fg	species	pval	pval_adj	species_count
PK_Tyr_Ser-Thr	12461.0	87.75352112676056	9.0	ICM0002_COSAG.1_Chrysophyceae	2.4680568905280665e-15	2.5793438194100592e-12	1
PS_pyruv_trans	83.0	0.5845070422535211	9.0	ICM0002_COSAG.1_Chrysophyceae	6.490699378433097e-10	3.244220871933343e-07	1
PT	187.0	1.3169014084507042	51.0	ICM0002_COSAG.1_Chrysophyceae	1.706929658276011e-67	1.9622863351541023e-63	1
Pkinase	49474.0	348.40845070422534	135.0	ICM0002_COSAG.1_Chrysophyceae	3.955173970298984e-12	2.6746282330915955e-09	1
Polysacc_lyase	20.0	0.1408450704225352	6.0	ICM0002_COSAG.1_Chrysophyceae	2.209580782918794e-09	1.0160536272173782e-06	1
REJ	1307.0	9.204225352112676	31.0	ICM0002_COSAG.1_Chrysophyceae	1.0759995244599377e-12	8.835493237993888e-10	1
RRM_1	21714.0	152.9154929577465	62.0	ICM0002_COSAG.1_Chrysophyceae	2.6249937534314938e-05	0.0062868600394684285	1
RVT_2	967.0	6.809859154929577	22.0	ICM0002_COSAG.1_Chrysophyceae	3.9273514510101634e-09	1.6721789733634387e-06	1
Ras	10354.0	72.91549295774648	21.0	ICM0002_COSAG.1_Chrysophyceae	1.3356726153735446e-05	0.0035631743951839187	1
SHIPPO-rpt	4898.0	34.49295774647887	5.0	ICM0002_COSAG.1_Chrysophyceae	1.3371347186595048e-05	0.0035631743951839187	1
SKN1_KRE6_Sbg1	261.0	1.8380281690140845	12.0	ICM0002_COSAG.1_Chrysophyceae	9.814687456230694e-09	4.029630249886716e-06	1
Sel1	27035.0	190.387323943662	25.0	ICM0002_COSAG.1_Chrysophyceae	3.202698389705992e-28	6.136370114676681e-25	1
Slo-like_RCK	690.0	4.859154929577465	13.0	ICM0002_COSAG.1_Chrysophyceae	3.792079365798263e-05	0.008063311916715847	1
TEN_NHL	201.0	1.4154929577464788	23.0	ICM0002_COSAG.1_Chrysophyceae	1.3661958727854874e-23	1.9632234691927453e-20	1
TLC	156.0	1.0985915492957747	6.0	ICM0002_COSAG.1_Chrysophyceae	0.0001276759405376943	0.023297819244783073	1
VPS13_VAB	573.0	4.035211267605634	12.0	ICM0002_COSAG.1_Chrysophyceae	2.7724249836919335e-05	0.006392333267940225	1
WD40	93586.0	659.056338028169	598.0	ICM0002_COSAG.1_Chrysophyceae	2.3764745667626857e-13	2.1015347399618336e-10	1
rve	872.0	6.140845070422535	15.0	ICM0002_COSAG.1_Chrysophyceae	2.7802423747130415e-05	0.006392333267940225	1
zf-CW	341.0	2.401408450704225	10.0	ICM0002_COSAG.1_Chrysophyceae	8.04311959258938e-06	0.0023708641752925004	1
zf-KKT2_KKT3	0.0	0.0	4.0	ICM0002_COSAG.1_Chrysophyceae	4.765719151696561e-10	2.608890827043032e-07	1
zf-TAZ	173.0	1.2183098591549295	7.0	ICM0002_COSAG.1_Chrysophyceae	2.5921122766135987e-05	0.0062868600394684285	1
2OG-FeII_Oxy_3	1989.0	14.007042253521126	44.0	ICM0003_COSAG.1_Prymnesiophyceae	3.030771400084629e-14	2.680600735244082e-11	1
2OG-FeII_Oxy_5	107.0	0.7535211267605634	5.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00036999262286512496	0.03636047160430091	1
Agenet	208.0	1.4647887323943662	10.0	ICM0003_COSAG.1_Prymnesiophyceae	3.8740177751169046e-07	9.477331144317909e-05	1
Amino_oxidase	1734.0	12.211267605633802	24.0	ICM0003_COSAG.1_Prymnesiophyceae	4.6950965686097815e-05	0.006205082798376467	1
Bestrophin	113.0	0.795774647887324	6.0	ICM0003_COSAG.1_Prymnesiophyceae	4.921891535345529e-05	0.006430898735613965	1
