id	Group	Supergroup
FR874437.1.1827_U|18S_rRNA|nucleus|clone_1804B04|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Opalozoa_X|MAST-12|MAST-12A|MAST-12A_sp.	MAST-12A	Stramenopiles
KC583005.1.1808_U|18S_rRNA|nucleus|clone_RS.12f.10m.367|Eukaryota|TSAR|Stramenopiles|Bigyra|Opalozoa|Opalozoa_X|MAST-12|MAST-12A|MAST-12A_sp.	MAST-12A	Stramenopiles
AY381171.1.1732_U|18S_rRNA|nucleus|clone_HE001005.112|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Labyrinthulomycetes|Labyrinthulomycetes_LAB7|Labyrinthulomycetes_LAB7_X|Labyrinthulomycetes_LAB7_X_sp.	Labyrinthulomycetes	Stramenopiles
KF129615.1.1773_U|18S_rRNA|nucleus|clone_ST3500.023|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Labyrinthulomycetes|Labyrinthulomycetes_LAB7|Labyrinthulomycetes_LAB7_X|Labyrinthulomycetes_LAB7_X_sp.	Labyrinthulomycetes	Stramenopiles
GU825677.1.1192_U|18S_rRNA|nucleus|clone_AA5F15RM4A12|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Labyrinthulomycetes|Thraustochytriaceae|Thraustochytriaceae_LAB17|Thraustochytriaceae_LAB17_sp.	Labyrinthulomycetes	Stramenopiles
JF791020.1.1777_U|18S_rRNA|nucleus|clone_3903|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Labyrinthulomycetes|Thraustochytriaceae|Thraustochytriaceae_LAB17|Thraustochytriaceae_LAB17_sp.	Labyrinthulomycetes	Stramenopiles
AB973545.1.1754_U|18S_rRNA|nucleus|strain_SEK_690|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Labyrinthulomycetes|Thraustochytriaceae|Thraustochytriaceae_SEK690|Thraustochytriaceae_SEK690_sp.	Labyrinthulomycetes	Stramenopiles
AY295587.1.1726_U|18S_rRNA|nucleus|clone_RA010412.20|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-10|MAST-10_X|MAST-10_X_sp.	MAST-10	Stramenopiles
KC582979.1.1807_U|18S_rRNA|nucleus|clone_RS.12f.10m.0056|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-10|MAST-10_X|MAST-10_X_sp.	MAST-10	Stramenopiles
JQ781936.1.1805_U|18S_rRNA|nucleus|clone_155S8Aeagi|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-4|MAST-4A|MAST-4A_sp.	MAST-4A	Stramenopiles
KC583007.1.1805_U|18S_rRNA|nucleus|clone_RS.12f.10m.37|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-4|MAST-4C|MAST-4C_sp.	MAST-4C	Stramenopiles
JQ782028.1.1806_U|18S_rRNA|nucleus|clone_70S8Ae5yu|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-4|MAST-4D|MAST-4D_sp.	MAST-4D	Stramenopiles
AY381207.1.1801_U|18S_rRNA|nucleus|clone_BL010320.6|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7A|MAST-7A_sp.	MAST-7A	Stramenopiles
