PX136615.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis convolutae
PX213583.1	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;unclassified Cercozoa;Filosa sp.;Filosa sp. NC6
PX213624.1	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Thaumatomonadida;Thaumatomonadida sp.
OZ371821.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas bravo
FN599059.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha
AJ004868.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium aff. polylepis
AY254857.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Florenciellales;Florenciella;Florenciella parvula
HQ912565.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Mediophyceae;Cymatosirophycidae;Cymatosirales;Cymatosiraceae;Brockmanniella;Brockmanniella brockmannii
JF790991.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros muelleri
JF791033.1	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride
JF791049.1	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum
FR865768.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas villosa
AM491013.2	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Haptolina;Haptolina fragaria
HE610130.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis
JX272635.1	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Chlorarachniophyceae;Minorisa;Minorisa minuta
AJ561112.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Pirsoniales;Pirsoniaceae;Pirsonia;Pirsonia guinardiae
U03477.1	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnion;Chlorarachnion reptans
JQ967309.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas solis
AJ629844.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix stigmatica
AF123596.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma mediterranea
JX988758.1	cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda
AF123297.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chrysolepidomonadaceae;Chrysolepidomonas;Chrysolepidomonas dendrolepidota
AF123301.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Epipyxis;Epipyxis aurea
AB022111.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriidae;Thraustochytrium;Thraustochytrium multirudimentale
L37204.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pteridomonas;Pteridomonas danica
